,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681132,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-24,-11.0,1.0,6.0,-21.0,-11.0,6.0,2020-06-24
4681133,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-25,-11.0,2.0,-13.0,-20.0,-12.0,6.0,2020-06-25
4681134,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-26,-11.0,1.0,-7.0,-21.0,-13.0,7.0,2020-06-26
4681135,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-27,-8.0,3.0,0.0,-20.0,-15.0,5.0,2020-06-27
4681136,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-28,-12.0,-1.0,-20.0,-28.0,-12.0,5.0,2020-06-28
4681137,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-29,-9.0,0.0,1.0,-19.0,-9.0,6.0,2020-06-29
4681138,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-30,-11.0,-2.0,-22.0,-21.0,-10.0,7.0,2020-06-30
4681139,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-01,-13.0,-2.0,-12.0,-21.0,-9.0,6.0,2020-07-01
4681140,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-02,-9.0,3.0,2.0,-19.0,-10.0,5.0,2020-07-02
4681141,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-03,-14.0,-4.0,-14.0,-21.0,-11.0,7.0,2020-07-03
4681142,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-04,-13.0,-1.0,-28.0,-27.0,-13.0,7.0,2020-07-04
4681143,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-05,-12.0,2.0,-7.0,-28.0,-11.0,5.0,2020-07-05
4681144,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-06,-20.0,-9.0,-31.0,-22.0,-11.0,7.0,2020-07-06
4681145,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-07,-12.0,-1.0,-18.0,-22.0,-12.0,7.0,2020-07-07
4681146,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-08,-12.0,-1.0,-12.0,-22.0,-12.0,6.0,2020-07-08
4681147,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-09,-14.0,-2.0,-20.0,-21.0,-11.0,7.0,2020-07-09
4681148,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-10,-13.0,0.0,-17.0,-22.0,-12.0,7.0,2020-07-10
4681149,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-11,-12.0,1.0,-22.0,-27.0,-15.0,7.0,2020-07-11
4681150,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-12,-11.0,2.0,-3.0,-27.0,-10.0,5.0,2020-07-12
4681151,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-07-13,-15.0,-5.0,-18.0,-20.0,-10.0,6.0,2020-07-13
